name,company,email,address,country,state,website,phone
,Merchant Bar,andrea@lafiawilmington.com,"426 Market Street Wilmington, DE 19801",United States,Delaware,https://www.merchantbarwilmington.com/,(302) 502-3385
,1861 Bar / Food / Friends,ashleynichole@1861restaurant.com,"423 N. Broad Street Middletown, DE 19709",United States,Delaware,https://www.1861restaurant.com/,(302) 376-7956
,Bank Shots 40,bankshotsbear@comcast.net,"2689 Pulaski Highway Newark, DE 19702",United States,Delaware,,(302) 737-9887
,Bar XIII,barxiiibooking@gmail.com,"1706 Philadelphia Pike Wilmington, DE 19809",United States,Delaware,http://www.barxiii.com/,(302) 746-7033
,Bellefonte Cafe,bellefontecafede@gmail.com,"804 Brandywine Boulevard Wilmington, DE 19809",United States,Delaware,https://www.thebellefontecafe.com/,(302) 761-9175
,Pizza by Elizabeths,bleroy@pizzabyelizabeths.com,"3801 Kennett Pike Wilmington, DE 19807",United States,Delaware,http://www.pizzabyelizabeths.com,(302) 654-4478
,The Blue Crab Grill,bluecrabgrill@gmail.com,"322 Suburban Drive Newark, DE 19711",United States,Delaware,https://www.bluecrabgrill.com,(302) 737-1100
,Milton Theatre,booking@miltontheatre.com,"110 Union Street Milton, DE 19968",United States,Delaware,https://www.miltontheatre.com/,(302) 684-3038
,High Stakes Bar & Grill,brian@highstakesbarandgrill.com,"5799 Lighthouse Cove, Route 54 Fenwick Island, DE 19944",United States,Delaware,https://highstakesbarandgrill.com/,(302) 537-6971
,Brew Haha!,brianbrucebooking@gmail.com,"3838 Kennett Pike Greenville, DE 19807",United States,Delaware,https://www.brewhaha.com/,(302) 658-6336
,Paradise Grill,bryce@paradiseislandde.com,"27344 Bay Road Long Neck, DE 19966",United States,Delaware,https://paradisegrillde.com,(302) 945-4500
,Delaware State University,cab@desu.edu,"1200 North Dupont Highway Dover, DE 19901",United States,Delaware,,
,Coastal Taproom,cassie@coastaltaproom.com,"18766 John J. Williams Highway Rehoboth Beach, DE 19971",United States,Delaware,,
,The Room at Cedar Grove,chana@shootingstar.rock,"32882 Cedar Grove Road Lewes, DE 19958",United States,Delaware,https://www.paulkaresde.org/concerts,(302) 316-4074
,Arden Concert Gild,concerts@ardenclub.org,"2126 The Highway Arden, DE 19810",United States,Delaware,https://ardenconcerts.com/,(302) 475-3126
,Irish Eyes Pub & Restaurant,dana@irisheyespub.com,"213 Anglers Road Lewes, DE 19958",United States,Delaware,http://www.irisheyespub.com/lewes-location.html,(302) 645-6888
,Dogfish Head Brewings & Eats,delaware@ce.net,"320 Rehoboth Avenue Rehoboth Beach, DE 19971",United States,Delaware,https://www.dogfish.com/restaurants/brewpub,(302) 226-2739
,The Queen,dmarshall@thequeenwilmington.com,"500 N. Market Street Wilmington, DE 19801",United States,Delaware,https://thequeenwilmington.com/,(302) 400-7020
,Full Throttle Cafe,fullthrottlecafede@gmail.com,"79 Christiana Road New Castle, DE 19720",United States,Delaware,,(302) 401-3597
,C.R. Hummingbird to Mars,h2marstrolley@gmail.com,"1616 Delaware Avenue Wilmington, DE 19806",United States,Delaware,https://catherinerooneys.com/hummingbird-to-mars/,(302) 654-9700
,Halftime Sports Bar & Music Venue,halftimesports@verizon.net,"618 Plaza Drive Newark, DE 19702",United States,Delaware,,(302) 369-3205
,Salted Vines Vineyard & Winery,info@saltedvines.com,"32512 Blackwater Road Frankford, DE 19945",United States,Delaware,https://www.saltedvines.com/,(302) 436-1500
,Irish Eyes Pub & Restaurant,jen@irisheyespub.com,"105 Union Street Milton, DE 19968",United States,Delaware,http://www.irisheyespub.com/milton-location.html,(302) 684-8889
,Rehoboth Ale House (On the Mile),jessalynn.rah@gmail.com,"20859 Coastal Highway Rehoboth Beach, DE 19971",United States,Delaware,https://rehobothalehouse.com/,(302) 567-2921
,Rehoboth Ale House (Downtown),jessalynn.rah@gmail.com,"15 Wilmington Avenue Rehoboth Beach, DE 19971",United States,Delaware,https://rehobothalehouse.com/,(302) 278-7433
,Mispillion River Brewing,kevin@mrbrewing.com,"255 Mullet Run Milford, DE 19963",United States,Delaware,https://www.mispillionriverbrewing.com,(302) 491-6623
,Docklands Riverfront,live@docklandsriverfront.com,"110 West Street Wilmington, DE 19801",United States,Delaware,https://docklandsriverfront.com/,(302) 658-6626
,RedFire Grill & Steakhouse,lizziew@platinumdining.net,"400 Lantana Drive Hockessin, DE 19707",United States,Delaware,https://www.redfiregrill.net/,(302) 235-2600
,Stitch House Brewery,localebbqpost@gmail.com,"829 Market Street Wilmington, DE 19801",United States,Delaware,https://www.stitchhousebrewery.com,(302) 250-4280
,Kelly's Logan House,loganhousevents@gmail.com,"1701 Delaware Avenue Wilmington, DE 19806",United States,Delaware,https://loganhouse.com/,(302) 652-9493
,The Starboard,meglaird@thestarboard.com,"2009 Coastal Highway Dewey Beach, DE 19971",United States,Delaware,https://thestarboard.com/,(302) 227-4600
,Stoney's British Pub,MJstone2001@yahoo.com,"3007 Concord Pike Wilmington, DE 19803",United States,Delaware,http://www.stoneyspub.com,(302) 477-9740
,St. Georges Country Store,mrbluz2@aol.com,"1 Delaware Street St. Georges, DE 19733",United States,Delaware,http://www.saintgeorgescountrystore.com,(302) 836-8202
,The Nomad Bar,nomadbar905@gmail.com,"905 N. Orange Street Wilmington, DE 19801",United States,Delaware,,(302) 655-8800
